CustomerID,SimilarCustomerID,Score
C0001,C0152,0.9999971019111189
C0001,C0181,0.9999931087277139
C0001,C0133,0.9999930182385431
C0002,C0027,0.9999988685147337
C0002,C0178,0.9999955317324155
C0002,C0177,0.9999890630040126
C0003,C0034,0.999909781189737
C0003,C0030,0.9999091999410602
C0003,C0031,0.9999039909102194
C0004,C0102,0.9999616098352663
C0004,C0113,0.9999600104531012
C0004,C0163,0.9999479831509901
C0005,C0140,0.99999906874764
C0005,C0128,0.999994495114212
C0005,C0123,0.9999920247998791
C0006,C0183,0.9999959699758956
C0006,C0048,0.9999911608603738
C0006,C0133,0.9999767220360424
C0007,C0146,0.9999977804370052
C0007,C0092,0.9999777541326107
C0007,C0089,0.9999746625055287
C0008,C0113,0.9999893503921391
C0008,C0057,0.9999728073834576
C0008,C0039,0.9999662240051013
C0009,C0061,0.9999531015433426
C0009,C0020,0.9999180355654474
C0009,C0167,0.9999129668051591
C0010,C0033,0.999377419568825
C0010,C0142,0.9988496636304125
C0010,C0032,0.9983225197013562
C0011,C0107,0.9994386630760068
C0011,C0153,0.9987314362868459
C0011,C0013,0.9976109831720504
C0012,C0153,0.9951000128255265
C0012,C0018,0.9940127645208515
C0012,C0046,0.9935020818631717
C0013,C0046,0.9990389834966661
C0013,C0153,0.9984205013796503
C0013,C0018,0.998357824781911
C0014,C0119,0.9999710923995194
C0014,C0097,0.9999643094758376
C0014,C0121,0.9999514277245077
C0015,C0058,0.9998883047391511
C0015,C0150,0.999528194647577
C0015,C0042,0.999370652909063
C0016,C0079,0.9999494117901022
C0016,C0158,0.9999243967828051
C0016,C0050,0.9999140366812251
C0017,C0165,0.9999040403770874
C0017,C0109,0.9994929746593648
C0017,C0068,0.9994899164115157
C0018,C0153,0.9992494902058309
C0018,C0046,0.9990018507789193
C0018,C0013,0.998357824781911
C0019,C0166,0.9999957632902106
C0019,C0036,0.9999900745083532
C0019,C0199,0.9999876405038034
C0020,C0167,0.9999917152570652
C0020,C0061,0.999966767228286
C0020,C0009,0.9999180355654474
C0021,C0028,0.9999793413015473
C0021,C0200,0.9999774318342475
C0021,C0145,0.9999694913992534
C0022,C0145,0.9999906186050431
C0022,C0200,0.9999905649906121
C0022,C0138,0.9999869341851323
C0023,C0168,0.9619922239609257
C0023,C0141,0.9220578574132422
C0023,C0126,0.9213552495749129
C0024,C0139,0.9999984202556625
C0024,C0026,0.9999960200344947
C0024,C0154,0.9999940815629291
C0025,C0157,0.9999971594918013
C0025,C0036,0.9999900821124431
C0025,C0095,0.9999850778509838
C0026,C0154,0.9999985186000774
C0026,C0139,0.9999968901470893
C0026,C0024,0.9999960200344947
C0027,C0002,0.9999988685147337
C0027,C0178,0.9999907158144545
C0027,C0106,0.9999861541299383
C0028,C0045,0.9999888029069299
C0028,C0145,0.9999846152570856
C0028,C0021,0.9999793413015473
C0029,C0112,0.9999532928255697
C0029,C0144,0.9999461690819752
C0029,C0031,0.9999154745464189
C0030,C0190,0.9999783768260985
C0030,C0055,0.9999429936071708
C0030,C0112,0.9999396895884701
C0031,C0129,0.9999698664044555
C0031,C0112,0.9999470063939515
C0031,C0029,0.9999154745464189
C0032,C0083,0.9999841554620208
C0032,C0029,0.9993882959672554
C0032,C0150,0.9993713824470922
C0033,C0010,0.999377419568825
C0033,C0032,0.998986992577388
C0033,C0083,0.9988687091652553
C0034,C0049,0.9999383913568402
C0034,C0003,0.999909781189737
C0034,C0030,0.9997896834211286
C0035,C0189,0.9999979146177569
C0035,C0052,0.999992115387838
C0035,C0166,0.9999913052520516
C0036,C0025,0.9999900821124431
C0036,C0019,0.9999900745083532
C0036,C0035,0.9999893797721602
C0037,C0096,0.999993158986339
C0037,C0148,0.9999739823452612
C0037,C0163,0.9999583948391415
C0038,C0189,0.9999955463849086
C0038,C0160,0.9999897515390059
C0038,C0035,0.9999876659666461
C0039,C0195,0.9999970975156433
C0039,C0113,0.999985977142844
C0039,C0108,0.9999783065452771
C0040,C0115,0.9999774628424897
C0040,C0056,0.9999641650940246
C0040,C0196,0.9999481618413016
C0041,C0075,0.9999589878317535
C0041,C0065,0.9999425309782386
C0041,C0109,0.9999215203477575
C0042,C0074,0.9998904409817594
C0042,C0016,0.999591759953373
C0042,C0058,0.99950542351659
C0043,C0060,0.999665409534201
C0043,C0097,0.9995943257214299
C0043,C0198,0.9995256011211755
C0044,C0074,0.9996388016044105
C0044,C0042,0.9991866017280933
C0044,C0058,0.9985657723221828
C0045,C0093,0.999991353072924
C0045,C0028,0.9999888029069299
C0045,C0143,0.9999726052628611
C0046,C0013,0.9990389834966661
C0046,C0018,0.9990018507789193
C0046,C0153,0.9981395564645322
C0047,C0052,0.9999943846541558
C0047,C0160,0.9999940800500577
C0047,C0181,0.9999934812600593
C0048,C0006,0.9999911608603738
C0048,C0133,0.9999822987685173
C0048,C0139,0.9999792754153702
C0049,C0034,0.9999383913568402
C0049,C0003,0.9998126016689083
C0049,C0030,0.9997199502430731
C0050,C0158,0.9999481420648878
C0050,C0016,0.9999140366812251
C0050,C0185,0.9999022522400455
C0051,C0059,0.9999925799710845
C0051,C0114,0.9999787236174029
C0051,C0100,0.9999732811349643
C0052,C0076,0.9999977281855348
C0052,C0047,0.9999943846541558
C0052,C0152,0.9999939675279047
C0053,C0124,0.9999925271563369
C0053,C0105,0.9999915595307911
C0053,C0149,0.999989324711326
C0054,C0143,0.999964500974493
C0054,C0093,0.9999587418831453
C0054,C0021,0.9999367989596858
C0055,C0072,0.9999903874177203
C0055,C0025,0.9999816937359993
C0055,C0052,0.9999730921009103
C0056,C0115,0.999981027395516
C0056,C0007,0.9999647708472502
C0056,C0040,0.9999641650940246
C0057,C0105,0.9999970776901765
C0057,C0182,0.999995519354014
C0057,C0122,0.9999869799723481
C0058,C0015,0.9998883047391511
C0058,C0042,0.99950542351659
C0058,C0074,0.9993214234832752
C0059,C0051,0.9999925799710845
C0059,C0114,0.9999922067619622
C0059,C0104,0.9999799248912635
C0060,C0014,0.9999090484604177
C0060,C0097,0.9999075314325704
C0060,C0121,0.9999069138369536
C0061,C0167,0.9999818594766191
C0061,C0020,0.999966767228286
C0061,C0009,0.9999531015433426
C0062,C0014,0.9999409932619169
C0062,C0151,0.9999196670103511
C0062,C0073,0.9999191062314358
C0063,C0094,0.6499883050315085
C0063,C0174,0.6459654331123953
C0063,C0132,0.6191701922846149
C0064,C0187,0.9997333909791349
C0064,C0099,0.9994235972260689
C0064,C0137,0.9994093479265411
C0065,C0182,0.9999774932594908
C0065,C0059,0.9999623124129424
C0065,C0057,0.9999579987080623
C0066,C0185,0.9999542883346442
C0066,C0196,0.9999506156631108
C0066,C0040,0.999946399014725
C0067,C0148,0.9999689070820122
C0067,C0183,0.9999679416959633
C0067,C0006,0.9999540938863625
C0068,C0087,0.9999596574264429
C0068,C0004,0.9999459912321209
C0068,C0102,0.9999367790670609
C0069,C0135,0.9999947414480159
C0069,C0103,0.9999895213403676
C0069,C0070,0.9999867294317151
C0070,C0154,0.9999928584750154
C0070,C0026,0.999992268909171
C0070,C0047,0.9999900395584119
C0071,C0095,0.9999840197789531
C0071,C0025,0.999976124662139
C0071,C0157,0.9999714810776206
C0072,C0055,0.9999903874177203
C0072,C0038,0.9999871313777232
C0072,C0025,0.9999794413088307
C0073,C0062,0.9999191062314358
C0073,C0029,0.9999029033107619
C0073,C0112,0.9998909748645766
C0074,C0042,0.9998904409817594
C0074,C0044,0.9996388016044105
C0074,C0016,0.999380891776401
C0075,C0041,0.9999589878317535
C0075,C0109,0.9999566673693634
C0075,C0065,0.999934669058634
C0076,C0052,0.9999977281855348
C0076,C0152,0.9999934816924188
C0076,C0047,0.9999933774889114
C0077,C0176,0.9970754278616951
C0077,C0083,0.9944003917229366
C0077,C0032,0.9943429507054233
C0078,C0023,0.22889039774940398
C0078,C0168,0.11301107299596626
C0078,C0063,0.09289390579071616
C0079,C0016,0.9999494117901022
C0079,C0158,0.999901552994095
C0079,C0155,0.9998651767881567
C0080,C0186,0.9999986076406384
C0080,C0128,0.9999874291482992
C0080,C0123,0.9999790855163242
C0081,C0169,0.9998362310272648
C0081,C0034,0.9997025564709259
C0081,C0003,0.9996147316001749
C0082,C0099,0.9998231849694706
C0082,C0155,0.9997560220639997
C0082,C0087,0.9997538586359304
C0083,C0032,0.9999841554620208
C0083,C0150,0.9995320414194014
C0083,C0192,0.9993545474999821
C0084,C0090,0.9999454852845618
C0084,C0145,0.9999431741949705
C0084,C0045,0.9999398458397712
C0085,C0125,0.9998690706919683
C0085,C0116,0.9996536823045274
C0085,C0192,0.9995631377010961
C0086,C0179,0.9999937788760274
C0086,C0106,0.9999823451130523
C0086,C0197,0.9999816905529221
C0087,C0102,0.9999906947065712
C0087,C0188,0.9999849907151542
C0087,C0068,0.9999596574264429
C0088,C0159,0.9999805120789136
C0088,C0110,0.9999718316031446
C0088,C0097,0.9999632776953918
C0089,C0103,0.9999932794462861
C0089,C0127,0.999987989449338
C0089,C0135,0.9999836014060348
C0090,C0106,0.9999846136498806
C0090,C0022,0.9999837171797434
C0090,C0124,0.999978556572162
C0091,C0072,0.9999682903954464
C0091,C0039,0.9999623275093905
C0091,C0008,0.9999585145299201
C0092,C0146,0.9999888108073883
C0092,C0005,0.9999843903863985
C0092,C0140,0.9999835948467812
C0093,C0143,0.9999944208146353
C0093,C0045,0.999991353072924
C0093,C0028,0.9999707833160644
C0094,C0077,0.9900997597621906
C0094,C0132,0.9862682260439772
C0094,C0176,0.9789273959127702
C0095,C0025,0.9999850778509838
C0095,C0071,0.9999840197789531
C0095,C0036,0.9999795150494484
C0096,C0037,0.999993158986339
C0096,C0170,0.9999567129847632
C0096,C0155,0.9999529977267895
C0097,C0014,0.9999643094758376
C0097,C0088,0.9999632776953918
C0097,C0159,0.9999405591415376
C0098,C0191,0.9999712065465224
C0098,C0190,0.9999668415528952
C0098,C0067,0.9999474432514674
C0099,C0082,0.9998231849694706
C0099,C0064,0.9994235972260689
C0099,C0155,0.9994151852168378
C0100,C0196,0.9999875785702399
C0100,C0051,0.9999732811349643
C0100,C0059,0.9999589004296315
C0101,C0162,0.9993063715597462
C0101,C0175,0.9989701051626909
C0101,C0143,0.9987443318891464
C0102,C0087,0.9999906947065712
C0102,C0188,0.9999864522145953
C0102,C0163,0.9999795509619641
C0103,C0135,0.9999939811775044
C0103,C0089,0.9999932794462861
C0103,C0069,0.9999895213403676
C0104,C0122,0.999984051252824
C0104,C0059,0.9999799248912635
C0104,C0163,0.9999773098735972
C0105,C0057,0.9999970776901765
C0105,C0182,0.9999934918693504
C0105,C0053,0.9999915595307911
C0106,C0178,0.9999868946830226
C0106,C0002,0.9999864190433847
C0106,C0027,0.9999861541299383
C0107,C0011,0.9994386630760068
C0107,C0064,0.9986128097751475
C0107,C0187,0.998491793677257
C0108,C0195,0.9999856959665699
C0108,C0039,0.9999783065452771
C0108,C0163,0.9999713581009465
C0109,C0075,0.9999566673693634
C0109,C0041,0.9999215203477575
C0109,C0004,0.9998743057779619
C0110,C0159,0.9999988886730719
C0110,C0123,0.9999835685084089
C0110,C0088,0.9999718316031446
C0111,C0121,0.9999470063909227
C0111,C0172,0.9999394203263352
C0111,C0134,0.9999343376435246
C0112,C0029,0.9999532928255697
C0112,C0031,0.9999470063939515
C0112,C0030,0.9999396895884701
C0113,C0008,0.9999893503921391
C0113,C0039,0.999985977142844
C0113,C0195,0.9999781860220465
C0114,C0059,0.9999922067619622
C0114,C0051,0.9999787236174029
C0114,C0104,0.999958143894788
C0115,C0056,0.999981027395516
C0115,C0040,0.9999774628424897
C0115,C0007,0.9999503554165345
C0116,C0192,0.9999420222734882
